,,2015/12/17 23:53:10,
119位,"",(・ー・)聖まぴ,124316
120位,"",ぱおん☆小澤,123892
121位,"",かめづ,123874
122位,"",Linda✿٩,122758
123位,"",ごる兄✩,122595
124位,"",シェリー,122367
125位,"",シン,122280
126位,"",Law@てったん,122179
127位,"",ろんきち,122128
128位,"",sasa忘年会,121445
129位,"",リック,119544
130位,"",えり✿ふふれ,119484
131位,"",ラーム,118234
132位,"",せれなஜ,117227
133位,"",۞十番隊隊長卍解,116856
134位,"",ジーザス,116660
135位,"",ともちゃん,116604
136位,"",しま,115599
137位,"",よっち＊,115124
138位,"",ゆかままLipt,114788
139位,"",はるくん♪,114632
140位,"",✿LUNA✿,114337
141位,"",ゆき_,114228
142位,"",らいど✩,113843
143位,"",おむぅ✩おしまい,113610
144位,"",❀かげ✿,112999
145位,"",ひなたむーみん,112446
146位,"",しゅう,112162
147位,"",✩りん✩彡,111922
148位,"",ハムスター,111480
149位,"",ゆんゆん☃,111477
150位,"",いなver.聖夜,111277
151位,"",バーニー,111103
152位,"",もんきち✨,111043
153位,"",ペルセポネ,111027
154位,"",ひなち〜⁂,110457
155位,"",ワタナシン×,110204
156位,"",ひさき❄٭,109971
157位,"",ちざきゃ,109942
158位,"",かさぶたランナー,109611
159位,"",しぃ。✖️,109463
160位,"",いるあ○,109134
161位,"",オボロ_,108885
162位,"",もーりーL○,108501
163位,"",たた,108162
164位,"",とおる✙_,107609
165位,"",翠姫@JINN,107412
166位,"",ひゃっこゼリー求,107070
167位,"",くーちゃん✿,105536
168位,"",光の右目,105167
169位,"",ギル❂,105138
170位,"",祐一,104985
171位,"",†雷帝†,104831
172位,"",クリスマス鳥,104498
173位,"",ein@収集です,104437
174位,"",＊ピチュー_×,103628
175位,"",イカ,103619
176位,"",ばらっち(´ε｀,103545
177位,"",昌宏　△,103429
178位,"",よ～ぐる,103124
179位,"",ちとせ＠寝×,102410
180位,"",♪龍王,101815
181位,"",亜連,101700
182位,"",FeMi9×,101546
182位,"",シンジ,101546
184位,"",まも,101160
185位,"",イノリ,100987
186位,"",妖精投入ストップ,100777
187位,"",ふぁん,100683
188位,"",ちあき_,100459
189位,"",よしえ☆感謝♡,100446
190位,"",にこ,100382
191位,"",かずL切,100290
192位,"",よお,100151
193位,"",しょこた,99993
194位,"",ねこ＊↓,99934
195位,"",IRI☆彡,99905
196位,"",かずたん,98843
197位,"",リンク__,98481
198位,"",Mumei-10,98024
199位,"",猫✨×,97316
200位,"",❁鷹シャンクス❁,96406
201位,"",三瓶❂,95844
202位,"",うるうる,95751
203位,"",エコロっエコロっ,95647
204位,"",めいぷる❂☪,94993
205位,"",湖,94614
206位,"",ぱぱたん×,94430
207位,"",あつver聖夜✨,94151
208位,"",ぷるっぴ,94078
209位,"",ëぽあるë,93779
210位,"",桜_,93502
211位,"",エビ＠L❤️VE,92941
212位,"",ハジメ,92687
213位,"",ワンピース＊×,92134
214位,"",うまちゃん,91986
215位,"",はなまる,91398
216位,"",tru◢_◤,91265
217位,"",てんぷるねる,91027
218位,"",ゆきな,90970
219位,"",ケイゴ♪,90840
220位,"",べんべん,90721
221位,"",トモ_,90552
222位,"",RESAY✧,90491
223位,"",赤ちゃん,90487
224位,"",らむ♡天パの弟子,90309
225位,"",あおい✧ฺ,89511
226位,"",ぱる☆愉快募集,89389
227位,"",あいつはラララ,89244
228位,"",*dairi*,89085
229位,"",どろっぷ,88700
230位,"",しるふ,88416
231位,"",のじ_アラ1,88287
232位,"",RYO_ゆのゆの,87981
233位,"",らすた✿くれーる,87543
234位,"",ゆっち,86935
235位,"",とも,86882
236位,"",気宇✿,86495
237位,"",ケチータ,86466
238位,"",ゆずっこ,86389
239位,"",のりん(˘❥˘),86360
240位,"",いちご✿*゜,86222
241位,"",ロイ@アプデ済,85745
242位,"",♨きのこ鍋♨,85626
243位,"",クルゥ_,85365
244位,"",オミメロ,85173
245位,"",lunaqua,84817
246位,"",あゆ,84797
247位,"",うさこ,84642
248位,"",みち㍉☁,84573
249位,"",༻瀀梨༺,84316
250位,"",ドラ❁ゆのてぃ,84276
251位,"",しゅーたん☆彡,84251
252位,"",ゆかちん✿,84244
253位,"",のび太16歳,83610
254位,"",あき☪,83254
255位,"",namako,83228
256位,"",キャンドルてんこ,82913
257位,"",こすぎに@鞄,82836
258位,"",すてきなホリデイ,82601
259位,"",ラルパトス,82554
260位,"",うさぎ,82465
261位,"",くみ❁ゆのてぃ,82403
262位,"",桜庭玉藻◯,82202
263位,"",☆かけ☆受験生,82014
264位,"",神夷10,81882
265位,"",かつ,81541
266位,"",ﾘﾗｸﾏｺฅ,81475
267位,"",ノッチん,81270
268位,"",✪ぷよおやじ_,81207
269位,"",ACE❂☪_,80949
270位,"",ネコひめ❁,80883
271位,"",つべイチ,80873
272位,"",ぷよりん,80500
273位,"",ぽっち☆彡完,80126
274位,"",えび社長∮知多∮,80095
275位,"",初代和虎,80004
276位,"",みるちฅ＊゜,79964
277位,"",りっこ,79671
278位,"",さぁや_×,79662
279位,"",たくみんฅ,79445
280位,"",しんた,79197
281位,"",snake_激務,78925
282位,"",❆サンタしのん❆,78759
283位,"",なみtanta♡,78659
284位,"",クオン,78425
285位,"",♬っぷ,77880
286位,"",白香_,77826
287位,"",手羽先！多色推し,77671
288位,"",カエサル,77463
289位,"",✁アクア☪,77407
290位,"",(◍′◡‵◍)×,77121
291位,"",朱伽&DanΣฅ,77076
292位,"",ガリィ♪,76908
293位,"",ユイ✨,76764
294位,"",ぬえぴー,76668
295位,"",†タケゾウ†,76466
296位,"",七草,76376
297位,"",あみ✩,76181
298位,"",Mr.PAO,76077
299位,"",❈ゆず❈_KFC,75769
300位,"",とし❂☪,75741
301位,"",✬︎こはるん✬,75641
302位,"",ハナギンタ267,75302
303位,"",ポーラ,75249
304位,"",やふ❖,74795
305位,"",かま_,74522
306位,"",紅茶花伝,74455
307位,"",ヨワシ✧,74299
308位,"",みち❁ゆの感謝,74263
309位,"",たかし,73900
310位,"",ゼブラ✨,73810
311位,"",サムライクロース,73401
312位,"",mchiba×,73373
313位,"",☤スタバマン☤,73348
314位,"",じゅん✿_,73253
315位,"",てそஐ_,73028
316位,"",ケンタ　,72936
317位,"",miiko,72784
318位,"",FRISK,72755
319位,"",みみっつ,72685
320位,"",ひでこ,72654
321位,"",隠居はじめました,72229
322位,"",ゆず_,71869
323位,"",祝Sランク✨済,71728
324位,"",うえ☪,71616
325位,"",かずな,71492
326位,"",セナ,71455
327位,"",やまち！,71323
328位,"",のんみー♡_,71277
329位,"",サンタもんじゃ,71105
330位,"",✿トド松推し,70981
TARGET
BORDER
1位,,1位,478667
10位,,10位,244358
30位,,30位,201890
300位,,300位,75741
1000位,,1000位,32375
3000位,,3000位,16227
10000位,,10000位,8897
30000位,,30000位,5082
50000位,,50000位,3605
80000位,,80000位,2497
100000位,,100000位,2036
200000位,,200000位,545
500000位,,500000位,0
115783
1位,"",☔️ハーピー狂,478667
2位,"",幸喜___,376025
3位,"",️絶望えり,239022
4位,"",白キノコマン,236997
5位,"",ルナちょむ,202693
6位,"",ゴーストライター,194229
7位,"",るるののஐ☔,182442
8位,"",チェルオ,155833
9位,"",TAKA,131121
10位,"",リーク✨,130570
11位,"",ばらっち(´ε｀,103545
12位,"",ケチータ,86466
13位,"",クオン,78425
14位,"",mchiba×,73373
15位,"",あいね,66931
16位,"",アオ,57990
17位,"",COCO,42928
18位,"",一十三eri,41246
19位,"",☆×8,35992
20位,"",あくまーもん☔,32934
21位,"",coa,25165
22位,"",ペロシ,21660
23位,"",chi-,21208
24位,"",聖夜eri☔️,17327
25位,"",allen,16615
26位,"",ロン,15331
27位,"",ぽむ,12365
28位,"",☂けん☃_,11655
29位,"",へまち,8812
30位,"",さのば_,7968
31位,"",はなまଳ,7229
32位,"",HH_,6336
33位,"",えります,6333
34位,"",τ超多忙実習中,5779
35位,"",くろにゃあ,5670
36位,"",しゅみっと,5126
37位,"",ねむい,5118
38位,"",ゆりち,5059
39位,"",未完,4211
40位,"",ゆーし☔️仕事,2872
41位,"",あるは,1558
42位,"",Feim,0
42位,"",さち,0
42位,"",ひろぽん,0
42位,"",きぃ,0
42位,"",澪,0
42位,"",こずえる☔,0
